,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2683,18.4,28.9,0.0,14.8,13.0,,37.0,SSE,SSE,19.0,19.0,30.0,,1012.9,1012.1,1.0,1.0,20.3,27.0,0.0,0.0
2684,24.2,41.0,0.0,11.2,8.4,WNW,35.0,NW,WNW,17.0,13.0,19.0,15.0,1010.7,1007.4,1.0,,33.6,37.6,0.0,0.0
2685,16.1,34.2,0.0,14.6,13.2,SE,37.0,,S,15.0,6.0,25.0,9.0,1013.3,,1.0,,20.7,32.8,,
2686,19.0,35.5,0.0,12.0,12.3,ENE,48.0,ENE,WSW,30.0,9.0,46.0,28.0,1008.3,1004.0,1.0,5.0,23.4,33.3,0.0,0.0
2687,19.7,35.5,0.0,11.0,12.7,NE,41.0,NNE,WSW,15.0,17.0,61.0,14.0,,1005.8,,5.0,24.0,33.6,0.0,0.0
2688,25.2,40.5,0.0,,10.3,SW,44.0,W,SW,13.0,22.0,,15.0,,1009.0,4.0,6.0,31.4,37.8,0.0,0.0
2689,21.6,34.2,0.0,,13.1,SW,44.0,S,S,17.0,19.0,19.0,8.0,1014.1,1012.3,0.0,0.0,25.0,32.2,,0.0
2690,,37.5,0.0,14.8,6.9,NNE,,ENE,NNE,26.0,9.0,34.0,29.0,1013.1,1009.6,7.0,6.0,26.2,34.1,0.0,1.0
2691,25.4,33.5,0.0,13.6,3.7,N,46.0,NW,N,9.0,28.0,46.0,52.0,1012.0,1009.8,4.0,7.0,28.9,29.7,0.0,0.0
2692,,30.7,0.0,8.0,5.9,WNW,,N,,24.0,19.0,71.0,63.0,1008.6,1006.2,7.0,7.0,24.4,,0.0,
2693,20.3,36.0,18.0,8.2,10.5,WSW,94.0,NNE,NW,13.0,7.0,89.0,50.0,1008.6,1006.7,7.0,4.0,24.7,33.4,1.0,1.0
2694,,34.7,8.6,,12.4,NNW,50.0,SSW,SW,11.0,15.0,46.0,23.0,1008.6,1008.3,2.0,6.0,,33.2,1.0,0.0
2695,23.8,39.9,0.0,12.6,13.2,S,31.0,ENE,E,17.0,7.0,50.0,16.0,1014.6,,,1.0,28.7,38.7,0.0,0.0
2696,27.0,,0.0,14.2,13.0,ENE,46.0,ENE,ESE,24.0,7.0,45.0,22.0,1015.2,1012.6,1.0,,29.0,36.4,0.0,0.0
2697,25.0,39.5,0.0,14.6,13.6,ENE,52.0,NNE,NNE,19.0,20.0,31.0,14.0,1014.6,1011.2,0.0,1.0,29.9,38.4,0.0,
2698,25.2,38.5,0.0,16.2,13.1,ENE,44.0,NNE,NE,24.0,20.0,35.0,18.0,1015.2,1011.9,1.0,2.0,29.0,36.9,0.0,0.0
2699,23.6,40.4,0.6,11.8,12.2,WSW,54.0,E,SSW,9.0,11.0,42.0,17.0,1008.4,1005.0,1.0,2.0,29.9,38.7,,1.0
2700,16.8,23.3,0.6,8.0,2.3,E,63.0,E,E,35.0,35.0,66.0,53.0,1013.8,1012.2,7.0,7.0,18.5,22.4,0.0,1.0
2701,16.1,19.1,26.0,6.6,0.0,ESE,54.0,ESE,ESE,28.0,,81.0,93.0,1014.3,1013.2,7.0,7.0,17.1,17.0,1.0,1.0
2702,17.4,19.7,0.0,6.0,0.0,ESE,48.0,SE,SE,19.0,20.0,65.0,,1011.2,1010.7,7.0,7.0,19.2,17.1,0.0,1.0
2703,15.9,20.8,32.6,3.0,0.3,ESE,44.0,ESE,ESE,,19.0,94.0,,1011.9,1010.2,8.0,7.0,16.6,20.6,1.0,1.0
2704,19.9,31.7,0.0,9.0,,S,31.0,S,SSW,13.0,,39.0,25.0,1012.5,1010.8,1.0,1.0,23.0,30.3,0.0,0.0
2705,17.2,34.3,0.0,10.2,12.4,WNW,,E,NNW,15.0,9.0,52.0,19.0,1013.3,1011.2,0.0,2.0,22.3,32.3,0.0,0.0
2706,21.9,35.1,0.0,9.0,10.2,S,,NNE,NNW,22.0,,53.0,30.0,1012.8,1010.4,3.0,4.0,25.9,,0.0,1.0
2707,,36.9,0.0,9.4,12.0,,41.0,N,WNW,17.0,19.0,41.0,18.0,,1008.1,6.0,2.0,25.8,35.8,0.0,0.0
2708,20.0,31.1,0.0,10.4,3.0,SE,,E,NW,7.0,6.0,31.0,31.0,1013.4,1012.7,7.0,6.0,23.1,29.3,0.0,0.0
