brand,operating_system,RAM_nth,storage_nth,storage_type,cpu_benchmark,gpu_class,screen_size,PPI,warranty,refurbished,price
LENOVO,WINDOWS,2,6.906890596,SSD,2501,4,15.6,141,0,YES,235.99
ASUS,WINDOWS,2,7,SSD,3048,3,15.6,141,1,YES,236.99
LENOVO,WINDOWS,2,7,SSD,3685,3,15.6,94,0,YES,259.99
HP,WINDOWS,2,7,SSD,2689,4,15.6,94,0,YES,223.49
DELL,WINDOWS,3,7,SSD,3256,3,14,157,0,YES,374.49
ASUS,WINDOWS,4,10.96578428,SSD,23322,1,16,142,0,YES,2396.49
LENOVO,WINDOWS,3,7.491853096,SSD,3035,4,14,105,0,YES,151.99
LENOVO,WINDOWS,4,7.491853096,SSD,6908,3,14,157,0,YES,428.49
LENOVO,WINDOWS,4,7.491853096,SSD,2743,4,14,118,0,YES,296.99
ASUS,WINDOWS,4,9.965784285,SSD,23697,2,14,162,1,YES,1410.49
ASUS,WINDOWS,4,9.965784285,SSD,24382,1,14,216,1,YES,1673.49
ACER,WINDOWS,3,9.965784285,SSD,11176,2,15.6,141,1,YES,1137.49
LENOVO,WINDOWS,4,9.965784285,SSD,12285,2,15.6,141,0,YES,1204.99
LENOVO,WINDOWS,4,9.965784285,SSD,15381,2,15.6,141,1,YES,1311.49
LENOVO,WINDOWS,5,9.965784285,SSD,16079,2,15.6,141,1,YES,1745.99
MSI,WINDOWS,4,9.965784285,SSD,19865,2,15.6,141,2,YES,1017.99
ASUS,WINDOWS,4,9.965784285,SSD,21223,2,16,142,1,YES,1209.49
ASUS,WINDOWS,4,9.965784285,SSD,21366,1,15.6,141,1,YES,1399.49
ASUS,WINDOWS,4,9.965784285,SSD,21366,1,17.3,127,1,YES,1521.49
ASUS,WINDOWS,4,9.965784285,SSD,21366,1,15.6,141,1,YES,1472.49
ASUS,WINDOWS,4,9.965784285,SSD,22153,1,15.6,188,1,YES,1832.99
MEDION,WINDOWS,5,9.965784285,SSD,21366,1,17.3,170,2,YES,1616.49
RAZER,WINDOWS,4,9.965784285,SSD,23079,1,14,210,1,YES,1971.99
MSI,WINDOWS,4,9.965784285,SSD,29151,1,17.3,127,2,YES,2107.49
LENOVO,WINDOWS,3,7.906890596,SSD,2512,4,14,112,0,YES,175.99
LENOVO,WINDOWS,3,7.906890596,SSD,3256,3,14,157,0,YES,285.49
LENOVO,WINDOWS,4,7.906890596,SSD,3256,3,14,157,0,YES,313.49
HP,WINDOWS,3,7.906890596,SSD,2501,4,14,112,0,YES,254.49
HP,WINDOWS,3,7.906890596,SSD,3256,4,12.5,176,0,YES,303.49
HP,WINDOWS,3,7.906890596,SSD,3256,4,12.5,117,0,YES,287.49
LENOVO,WINDOWS,3,7.906890596,SSD,3717,3,14,157,0,YES,300.49
ASUS,WINDOWS,3,8,SSD,3968,3,15.6,141,1,YES,368.49
OTHER,WINDOWS,3,8,SSD,7088,3,14,157,0,YES,429.99
LENOVO,WINDOWS,3,8,SSD,5925,3,15.6,141,0,YES,429.99
MSI,WINDOWS,3,8,SSD,7763,2,17.3,127,2,YES,899.99
ASUS,WINDOWS,3,8,SSD,7763,2,15.6,141,1,YES,494.99
LENOVO,WINDOWS,3,8,SSD,7763,2,17.3,127,1,YES,799.99
LENOVO,WINDOWS,4,8,SSD,11176,2,15.6,141,0,YES,1354.99
ASUS,WINDOWS,3,8,SSD,7088,3,15.6,141,1,YES,356.49
LENOVO,WINDOWS,3,8,SSD,7088,3,15.6,141,1,YES,347.99
HP,WINDOWS,3,8,SSD,3011,3,14,157,0,YES,459.49
LENOVO,WINDOWS,3,8,SSD,3256,3,12.5,117,0,YES,218.49
HP,WINDOWS,3,8,SSD,3011,3,14,157,0,YES,299.49
DELL,WINDOWS,3,8,SSD,2743,4,12.5,117,0,YES,206.99
HP,WINDOWS,3,8,SSD,2501,4,14,105,0,YES,395.99
LENOVO,WINDOWS,3,8,SSD,2743,4,12.5,117,0,YES,217.49
LENOVO,WINDOWS,3,8,SSD,3393,3,14,157,0,YES,577.49
HP,WINDOWS,3,8,SSD,3393,3,14,157,0,YES,486.99
HP,WINDOWS,3,8,SSD,3256,3,12.5,176,0,YES,253.99
