,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,Month,Day,Year,total_outliers
2683,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,17
2684,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,13
2685,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,17
2686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2688,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,13
2689,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,15
2690,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2691,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2693,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
2694,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2695,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,15
2696,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
2697,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,13
2698,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
2699,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,15
2700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2701,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2702,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2708,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2709,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
2710,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2711,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2712,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2713,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2718,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2720,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2723,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2724,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2729,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2730,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2731,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
2732,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
